lambda_delay,lambda_migration,lambda_resource,lambda_balance,migrate_threshold,cooldown_steps,max_candidates,d_max,queue_penalty_coeff,sensitivity_coeff,migration_state_coeff,migration_hops_coeff,migration_norm_factor,resource_tension_max,allocation_failure_penalty,mean_cost_margin_vs_nearest,mean_failed_gap_vs_nearest,mean_delay_gap_vs_nearest
0.24489795918367346,0.1836734693877551,0.3673469387755102,0.20408163265306123,0.09,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.597831796974049,-0.11250000000000004,0.028964979703751226
0.2553191489361702,0.19148936170212766,0.34042553191489366,0.21276595744680854,0.03,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.56352165032385,-0.11250000000000027,0.021264236817959414
0.24489795918367346,0.22448979591836735,0.3673469387755102,0.163265306122449,0.03,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.56309049204765,-0.11250000000000004,0.038239857319666726
0.24489795918367346,0.22448979591836735,0.3673469387755102,0.163265306122449,0.09,3,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.562768484759204,-0.11250000000000004,0.0391959427834081
0.2553191489361702,0.19148936170212766,0.3829787234042553,0.17021276595744683,0.09,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.55548731870914,-0.11250000000000004,0.028964979703751226
0.24489795918367346,0.22448979591836735,0.3673469387755102,0.163265306122449,0.06,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.551974964701941,-0.11250000000000004,0.04142783511603554
0.24489795918367346,0.1836734693877551,0.3673469387755102,0.20408163265306123,0.06,3,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.55105163023714,-0.11250000000000027,0.04147023820826945
0.24489795918367346,0.22448979591836735,0.326530612244898,0.20408163265306123,0.09,3,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.549087978695269,-0.11250000000000004,0.0391959427834081
0.2553191489361702,0.19148936170212766,0.34042553191489366,0.21276595744680854,0.09,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.539570978785605,-0.11250000000000004,0.028964979703751226
0.2553191489361702,0.19148936170212766,0.3829787234042553,0.17021276595744683,0.06,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.52521889199059,-0.11250000000000004,0.03847503610684555
0.26666666666666666,0.2,0.4,0.13333333333333333,0.03,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.521354420882943,-0.11250000000000027,0.022272799430830048
0.2553191489361702,0.23404255319148937,0.3829787234042553,0.1276595744680851,0.03,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.519881358192976,-0.11250000000000004,0.038239857319666726
0.2553191489361702,0.2765957446808511,0.34042553191489366,0.1276595744680851,0.03,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.517662067399584,-0.11250000000000004,0.032046322546737116
0.26666666666666666,0.2,0.4,0.13333333333333333,0.09,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.509378886820713,-0.11250000000000004,0.028964979703751226
0.2641509433962264,0.20754716981132074,0.33962264150943394,0.18867924528301888,0.06,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.497662759503527,-0.11250000000000004,0.028964979703751226
0.2641509433962264,0.20754716981132074,0.33962264150943394,0.18867924528301888,0.09,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.497662759503527,-0.11250000000000004,0.028964979703751226
